a_coruna,0
albacete,1
alicante,2
almeria,3
araba/alava,4
asturias,5
avila,6
badajoz,7
baleares,8
barcelona,9
bizkaia,10
burgos,11
caceres,12
cadiz,13
cantabria,14
castellon,15
ceuta,16
ciudad_real,17
cordoba,18
cuenca,19
gipuzkoa,20
girona,21
granada,22
guadalajara,23
huelva,24
huesca,25
jaen,26
la_rioja,27
leon,28
lleida,29
lugo,30
madrid,31
malaga,32
melilla,33
murcia,34
navarra,35
ourense,36
palencia,37
"palmas,_las",38
pontevedra,39
salamanca,40
santa_cruz_de_tenerife,41
segovia,42
sevilla,43
soria,44
tarragona,45
teruel,46
toledo,47
valencia,48
valladolid,49
zamora,50
zaragoza,51
